id,category_id,name,slug,label,description,price,original_price,is_sale,is_new,is_featured,status,release_order,created_at,updated_at
aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaa1,11111111-1111-4111-8111-111111111111,Black Jacket 01,black-jacket-01,Outerwear,"A structured everyday shell with quiet utility, clean lines, and a heavy black finish.",148,,false,false,true,active,10,2026-05-27T00:00:00Z,
aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaa2,11111111-1111-4111-8111-111111111111,Tech Coat 02,tech-coat-02,Outerwear,"A longer technical coat designed for layering through city weather and late-night movement.",188,,false,true,true,active,9,2026-05-27T00:00:00Z,
aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaa3,33333333-3333-4333-8333-333333333333,Utility Pants 03,utility-pants-03,Pants,"Utility pants with a straight fit, reinforced pockets, and a minimal tactical edge.",118,148,true,false,true,active,8,2026-05-27T00:00:00Z,
aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaa4,33333333-3333-4333-8333-333333333333,Cargo System 04,cargo-system-04,Cargo Pants,"Cargo shorts with a modular pocket system and a compact summer uniform feel.",128,168,true,false,true,active,7,2026-05-27T00:00:00Z,
aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaa5,22222222-2222-4222-8222-222222222222,Hoodie 05,hoodie-05,Hoodies,"A heavyweight black hoodie built for daily wear with a soft brushed interior.",98,,false,false,false,active,6,2026-05-27T00:00:00Z,
aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaa6,22222222-2222-4222-8222-222222222222,Layer Tee 06,layer-tee-06,T-Shirts,"An oversized tee that works alone or layered under outerwear for a clean base.",58,76,true,false,false,active,5,2026-05-27T00:00:00Z,
aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaa7,22222222-2222-4222-8222-222222222222,Tech Shirt 07,tech-shirt-07,Shirts,"A lightweight button shirt with a boxy fit and clean front construction.",78,,false,false,false,active,4,2026-05-27T00:00:00Z,
aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaa8,44444444-4444-4444-8444-444444444444,Archive Cap 08,archive-cap-08,Baseball Caps,"A washed black cap with a low profile and adjustable back strap.",38,48,true,false,false,active,3,2026-05-27T00:00:00Z,
aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaa9,44444444-4444-4444-8444-444444444444,Utility Bag 09,utility-bag-09,Tote Bags,"A black carryall with enough structure for daily essentials and weekend overflow.",88,118,true,false,false,active,2,2026-05-27T00:00:00Z,
aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaa10,22222222-2222-4222-8222-222222222222,Zip Hoodie 10,zip-hoodie-10,Hoodies,"A zip hoodie with a clean front, substantial weight, and an easy regular fit.",108,,false,true,false,active,1,2026-05-27T00:00:00Z,
